AEN;Entrada em Armazém
ASA;Saída de Armazém
ATR;Transferência entre Armazéns
CEN;Encomenda
CGR;Guia de Remessa
CGT;Guia de Transporte
CFA;Factura
CFE;Factura exportação
CNC;Nota de Crédito
CVD;Venda a Dinheiro
CAD;Aviso de Lançamento a Débito
CAC;Aviso de Lançamento a Crédito
CRE;Recibo
FEN;Encomenda
FGR;Guia de Remessa
FFA;Registo de Factura
FND;Nota de Devolução
FVD;Registo de Venda a Dinheiro
FAD;Aviso de Lançamento a Débito
FAC;Aviso de Lançamento a Crédito
FRE;Pagamento
